response_code,item_id,condition,condition_label,domain,complexity,gold_handling,predicted_handling,handling_correct,format_compliant,generated_tokens,complaint_scenario,model_output,factual_accuracy_rater1,factual_accuracy_rater2,factual_accuracy_mean,handling_appropriateness_rater1,handling_appropriateness_rater2,handling_appropriateness_mean,requirement_fulfillment_rater1,requirement_fulfillment_rater2,requirement_fulfillment_mean,safety_administrative_appropriateness_rater1,safety_administrative_appropriateness_rater2,safety_administrative_appropriateness_mean,composite_mean,critical_factual_error_rater1,critical_factual_error_rater2,critical_factual_error_both,critical_factual_error_either,unsafe_failure_to_escalate_rater1,unsafe_failure_to_escalate_rater2,unsafe_failure_to_escalate_both,unsafe_failure_to_escalate_either,privacy_problem_rater1,privacy_problem_rater2,privacy_problem_both,privacy_problem_either,unsupported_assurance_or_hallucination_rater1,unsupported_assurance_or_hallucination_rater2,unsupported_assurance_or_hallucination_both,unsupported_assurance_or_hallucination_either
R-F4EFC94C21,SCB-P019,public_chat,Public chat SFT,급식·보건,단순,안내,추가확인,False,True,236,,,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-26881699E8,SCB-P021,base,Base,급식·보건,단순,추가확인,추가확인,True,True,313,,,4.0,5.0,4.5,3.0,4.0,3.5,3.0,5.0,4.0,4.0,5.0,4.5,4.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-353A6E2AA5,SCB-P021,mixed_chat,Mixed chat SFT,급식·보건,단순,추가확인,,False,False,1024,,,4.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.5,3.0,2.0,2.5,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-D063FF873C,SCB-P021,private_chat,Private chat SFT,급식·보건,단순,추가확인,추가확인,True,True,211,,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.5,4.0,5.0,4.5,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-A17A67A51E,SCB-P021,public_chat,Public chat SFT,급식·보건,단순,추가확인,,False,False,89,,,5.0,4.0,4.5,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-F06DFB4229,SCB-P024,base,Base,급식·보건,복합,담당자연계,추가확인,False,True,260,,,4.0,5.0,4.5,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,3.5,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-378EE84178,SCB-P024,mixed_chat,Mixed chat SFT,급식·보건,복합,담당자연계,추가확인,False,True,228,,,4.0,4.0,4.0,2.0,3.0,2.5,2.0,2.0,2.0,3.0,2.0,2.5,2.75,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
R-04F9D0772B,SCB-P024,private_chat,Private chat SFT,급식·보건,복합,담당자연계,추가확인,False,True,208,,,4.0,4.0,4.0,3.0,4.0,3.5,2.0,3.0,2.5,3.0,3.0,3.0,3.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-48BBBC6548,SCB-P024,public_chat,Public chat SFT,급식·보건,복합,담당자연계,추가확인,False,True,304,,,4.0,4.0,4.0,3.0,4.0,3.5,2.0,2.0,2.0,3.0,2.0,2.5,3.0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
R-29F76DBE64,SCB-P025,base,Base,시설·통학안전,단순,안내,안내,True,True,233,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-26836A69B4,SCB-P025,mixed_chat,Mixed chat SFT,시설·통학안전,단순,안내,안내,True,True,140,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-6B402462D8,SCB-P025,private_chat,Private chat SFT,시설·통학안전,단순,안내,안내,True,True,167,,,5.0,5.0,5.0,5.0,4.0,4.5,5.0,4.0,4.5,5.0,5.0,5.0,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-D6B3D3C19A,SCB-P025,public_chat,Public chat SFT,시설·통학안전,단순,안내,추가확인,False,True,178,,,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.5,5.0,5.0,5.0,4.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-C3A7C52D22,SCB-P027,base,Base,시설·통학안전,단순,추가확인,추가확인,True,True,250,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-010FB965E6,SCB-P027,mixed_chat,Mixed chat SFT,시설·통학안전,단순,추가확인,,False,False,1024,,,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-E4297C1D7E,SCB-P027,private_chat,Private chat SFT,시설·통학안전,단순,추가확인,추가확인,True,True,228,,,5.0,5.0,5.0,4.0,5.0,4.5,4.0,5.0,4.5,5.0,5.0,5.0,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-035E73678C,SCB-P027,public_chat,Public chat SFT,시설·통학안전,단순,추가확인,추가확인,True,True,172,,,4.0,5.0,4.5,3.0,4.0,3.5,3.0,4.0,3.5,5.0,5.0,5.0,4.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-8C6A5DC1D0,SCB-P030,base,Base,시설·통학안전,복합,담당자연계,추가확인,False,True,272,,,5.0,5.0,5.0,3.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,4.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-F06A0B5242,SCB-P030,mixed_chat,Mixed chat SFT,시설·통학안전,복합,담당자연계,추가확인,False,True,182,,,4.0,4.0,4.0,2.0,3.0,2.5,2.0,3.0,2.5,3.0,3.0,3.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-9856878B2F,SCB-P030,private_chat,Private chat SFT,시설·통학안전,복합,담당자연계,추가확인,False,True,228,,,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-B4BA7056E2,SCB-P030,public_chat,Public chat SFT,시설·통학안전,복합,담당자연계,추가확인,False,True,241,,,4.0,4.0,4.0,2.0,3.0,2.5,2.0,2.0,2.0,3.0,3.0,3.0,2.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-F578A33783,SCB-P032,base,Base,돌봄·방과후,복합,안내,안내,True,True,242,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-BCC5EDB033,SCB-P032,mixed_chat,Mixed chat SFT,돌봄·방과후,복합,안내,안내,True,True,123,,,4.0,5.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-597747B04A,SCB-P032,private_chat,Private chat SFT,돌봄·방과후,복합,안내,추가확인,False,True,171,,,5.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.5,5.0,5.0,5.0,4.375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-321E7F0952,SCB-P032,public_chat,Public chat SFT,돌봄·방과후,복합,안내,,False,True,113,,,5.0,4.0,4.5,3.0,2.0,2.5,4.0,3.0,3.5,5.0,4.0,4.5,3.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-D922A682A3,SCB-P033,base,Base,돌봄·방과후,단순,추가확인,추가확인,True,True,213,,,3.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,3.5,5.0,5.0,5.0,4.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-1DA955E1D6,SCB-P033,mixed_chat,Mixed chat SFT,돌봄·방과후,단순,추가확인,,False,True,174,,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-3A499D8186,SCB-P033,private_chat,Private chat SFT,돌봄·방과후,단순,추가확인,추가확인,True,True,206,,,3.0,3.0,3.0,3.0,4.0,3.5,3.0,4.0,3.5,5.0,4.0,4.5,3.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-E3E1F25427,SCB-P033,public_chat,Public chat SFT,돌봄·방과후,단순,추가확인,추가확인,True,True,194,,,2.0,3.0,2.5,3.0,3.0,3.0,3.0,4.0,3.5,4.0,4.0,4.0,3.25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
R-4471C6ECFC,SCB-P036,base,Base,돌봄·방과후,복합,담당자연계,추가확인,False,True,283,,,5.0,4.0,4.5,2.0,4.0,3.0,2.0,3.0,2.5,3.0,3.0,3.0,3.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-BD6F6F0CC9,SCB-P036,mixed_chat,Mixed chat SFT,돌봄·방과후,복합,담당자연계,,False,True,191,,,5.0,4.0,4.5,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-984800D98A,SCB-P036,private_chat,Private chat SFT,돌봄·방과후,복합,담당자연계,추가확인,False,True,276,,,5.0,5.0,5.0,3.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,4.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-0196620DB9,SCB-P036,public_chat,Public chat SFT,돌봄·방과후,복합,담당자연계,추가확인,False,True,182,,,4.0,4.0,4.0,2.0,3.0,2.5,2.0,2.0,2.0,3.0,3.0,3.0,2.875,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
R-E8A858518B,SCB-P037,base,Base,정보·개인정보,단순,안내,안내,True,True,217,,,5.0,4.0,4.5,5.0,4.0,4.5,5.0,4.0,4.5,5.0,4.0,4.5,4.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-D08CF3B42B,SCB-P037,mixed_chat,Mixed chat SFT,정보·개인정보,단순,안내,안내,True,True,129,,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.5,5.0,5.0,5.0,4.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-C6B259D6D7,SCB-P037,private_chat,Private chat SFT,정보·개인정보,단순,안내,안내,True,True,151,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-A70AF75A37,SCB-P037,public_chat,Public chat SFT,정보·개인정보,단순,안내,담당자연계,False,True,186,,,5.0,4.0,4.5,3.0,2.0,2.5,5.0,3.0,4.0,5.0,4.0,4.5,3.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-710C5CE343,SCB-P040,base,Base,정보·개인정보,복합,추가확인,추가확인,True,True,239,,,5.0,5.0,5.0,4.0,5.0,4.5,4.0,4.0,4.0,5.0,5.0,5.0,4.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-17E2F5BA9D,SCB-P040,mixed_chat,Mixed chat SFT,정보·개인정보,복합,추가확인,추가확인,True,True,165,,,4.0,4.0,4.0,3.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-FCDC8650C5,SCB-P040,private_chat,Private chat SFT,정보·개인정보,복합,추가확인,추가확인,True,True,234,,,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.5,2.625,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
R-6BE9F179AC,SCB-P040,public_chat,Public chat SFT,정보·개인정보,복합,추가확인,,False,False,179,,,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-FE575E0352,SCB-P041,base,Base,정보·개인정보,단순,담당자연계,추가확인,False,True,262,,,5.0,4.0,4.5,3.0,2.0,2.5,4.0,2.0,3.0,4.0,2.0,3.0,3.25,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
R-9EB02B220A,SCB-P041,mixed_chat,Mixed chat SFT,정보·개인정보,단순,담당자연계,담당자연계,True,True,242,,,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-6A69B8566A,SCB-P041,private_chat,Private chat SFT,정보·개인정보,단순,담당자연계,추가확인,False,True,184,,,5.0,4.0,4.5,3.0,4.0,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-8A19816A0B,SCB-P041,public_chat,Public chat SFT,정보·개인정보,단순,담당자연계,,False,False,1024,,,3.0,2.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.625,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
R-B605794963,SCB-P044,base,Base,소통·민원절차,복합,안내,안내,True,True,216,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-214BF591AB,SCB-P044,mixed_chat,Mixed chat SFT,소통·민원절차,복합,안내,안내,True,True,174,,,5.0,5.0,5.0,4.0,5.0,4.5,4.0,5.0,4.5,5.0,5.0,5.0,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-40A72A2418,SCB-P044,private_chat,Private chat SFT,소통·민원절차,복합,안내,안내,True,True,164,,,5.0,5.0,5.0,4.0,5.0,4.5,4.0,5.0,4.5,5.0,5.0,5.0,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-CD69B724E1,SCB-P044,public_chat,Public chat SFT,소통·민원절차,복합,안내,안내,True,True,156,,,5.0,5.0,5.0,4.0,5.0,4.5,4.0,5.0,4.5,5.0,5.0,5.0,4.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-E413B78E65,SCB-P045,base,Base,소통·민원절차,단순,추가확인,추가확인,True,True,266,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-6EDA15EFE2,SCB-P045,mixed_chat,Mixed chat SFT,소통·민원절차,단순,추가확인,추가확인,True,True,192,,,4.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.375,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
R-7E0BEC5CCF,SCB-P045,private_chat,Private chat SFT,소통·민원절차,단순,추가확인,추가확인,True,True,228,,,4.0,5.0,4.5,3.0,4.0,3.5,3.0,4.0,3.5,5.0,5.0,5.0,4.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-9D43779B22,SCB-P045,public_chat,Public chat SFT,소통·민원절차,단순,추가확인,추가확인,True,True,210,,,3.0,4.0,3.5,3.0,4.0,3.5,3.0,3.0,3.0,4.0,5.0,4.5,3.625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R-141FC8271A,SCB-P047,base,Base,소통·민원절차,단순,담당자연계,담당자연계,True,True,221,,,5.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.5,1.0,1.0,1.0,1.875,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
