item_id,query_sha256,rank,chunk_id,source_key,source_title,locator_type,locator,retrieval_score,chunk_text_sha256
SCB-P004,b034614adeaecc7d0cfcdbd5e334110ed5c23abb27812077762f4c140502e129,1,STAR_RECORD_2026_P103_C01,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,103,0.0405935683,4a0efe18d998f2ebd84bb51d105339d6bcc8511cf8fbdfe93e2164657f78568b
SCB-P004,b034614adeaecc7d0cfcdbd5e334110ed5c23abb27812077762f4c140502e129,2,STAR_RECORD_2026_P101_C03,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,101,0.0385239242,b608fd1d1b08266bca8de0421105a9d6fe7392ba6c0874a8cfbbe942d93aed6b
SCB-P004,b034614adeaecc7d0cfcdbd5e334110ed5c23abb27812077762f4c140502e129,3,SEN_PRIVACY_2026_P085_C01,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,85,0.0299454031,32e21f63f2426e151fac08ec085eadcf74a06041a9e1372d1c1ab696d23f1db9
SCB-P004,b034614adeaecc7d0cfcdbd5e334110ed5c23abb27812077762f4c140502e129,4,SEN_PRIVACY_2026_P083_C04,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,83,0.0272256381,4c5dccc802e5fbfff2d60d45902e712296b5e59e43940258f7e83e851cbeaaa6
SCB-P005,a85ff9c03c16942390d7f78e5c06c14c4a87a98451e08c514c52739061c53058,1,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0790850333,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P005,a85ff9c03c16942390d7f78e5c06c14c4a87a98451e08c514c52739061c53058,2,MOE_GUIDANCE_2026_DOC_C09,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.04342611,405cf450bcc6eed60f673bff2828beb3ca192e137012d70bca900d314daa8cfe
SCB-P005,a85ff9c03c16942390d7f78e5c06c14c4a87a98451e08c514c52739061c53058,3,MOE_SCM_2026_P049_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,49,0.0345088028,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P005,a85ff9c03c16942390d7f78e5c06c14c4a87a98451e08c514c52739061c53058,4,MOE_GUIDANCE_2026_DOC_C12,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0259304794,e372fc9ac8720bd3dd881101d04a46484a6d36c602d135956dc8959307897780
SCB-P006,145d0cfa2dae5118b2465a953b1942492f5cb881ee06b501a78845f9fac77b66,1,MOE_VIOLENCE_2026_P065_C03,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,65,0.1031262697,a566b2a77a6aa4a053222db649c13b34aad67cd6588a56ed7b539065763c60cd
SCB-P006,145d0cfa2dae5118b2465a953b1942492f5cb881ee06b501a78845f9fac77b66,2,MOE_VIOLENCE_2026_P139_C03,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,139,0.0760554567,67c374c2be9a034e1764cbe30fc293d97eda58e506a50475fc4ba80db5212e16
SCB-P006,145d0cfa2dae5118b2465a953b1942492f5cb881ee06b501a78845f9fac77b66,3,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0397921068,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P006,145d0cfa2dae5118b2465a953b1942492f5cb881ee06b501a78845f9fac77b66,4,MOE_SCM_2026_P022_C04,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,22,0.0369181496,7f9d2fe260a1ee373361f9eb97378f2491f88b0a0c2463b8caca31c0bffebe58
SCB-P007,3815a338e027ce5c98a6c202482629c79ed4746238542df400e3e56a6382b0ea,1,STAR_RECORD_2026_P098_C02,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,98,0.0467328341,c009de7708176b2642d4d105531a22f1e40f22719f7ab996049e210dc8307954
SCB-P007,3815a338e027ce5c98a6c202482629c79ed4746238542df400e3e56a6382b0ea,2,MOE_SCM_2026_P050_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,50,0.0466307313,2e46f4a467f018dfadf4169f907fd3e6ad3f894b9a5398f4f8b437d953da2f55
SCB-P007,3815a338e027ce5c98a6c202482629c79ed4746238542df400e3e56a6382b0ea,3,MOE_SCM_2026_P014_C03,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,14,0.0444290078,7949eac388c27ab8365e87136cee51a0230725d620c864dd2247aa349e58e9ce
SCB-P007,3815a338e027ce5c98a6c202482629c79ed4746238542df400e3e56a6382b0ea,4,SEN_PRIVACY_2026_P082_C03,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,82,0.0410760903,d6bbf0c8c65b4c5863b116b513ed88e76988040b318aea9fe6fa6d571031a43e
SCB-P008,f25d7f0e7584c073eb0e8f6549c65b0c5b4c5687ab1189d5d7917c867a335be8,1,STAR_RECORD_2026_P115_C03,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,115,0.0843626334,83a71edd57ffe44e58c008132088a6e6e0575c9f4d2b4224c113001f521d093c
SCB-P008,f25d7f0e7584c073eb0e8f6549c65b0c5b4c5687ab1189d5d7917c867a335be8,2,STAR_RECORD_2026_P079_C04,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,79,0.0515171593,6466ff8cf39019272bc1bdabeee663fae32f2d3445e1a666e5b0a2eb347b8044
SCB-P008,f25d7f0e7584c073eb0e8f6549c65b0c5b4c5687ab1189d5d7917c867a335be8,3,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0485144711,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P008,f25d7f0e7584c073eb0e8f6549c65b0c5b4c5687ab1189d5d7917c867a335be8,4,SEN_PRIVACY_2026_P049_C02,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,49,0.0466365809,e10fd0e5d511214ddcb06e4c2cb98c3c45bb0d1e18737c154a8d219cba40f9d9
SCB-P009,a30498470b1afa43147c4752c737853c7b8612e8466e4a9f916118628722283f,1,STAR_RECORD_2026_P100_C03,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,100,0.0692984951,3d3be464b8861071ba2e12a1e75391eddf4adcef93aee8ac98b4c607da6f4012
SCB-P009,a30498470b1afa43147c4752c737853c7b8612e8466e4a9f916118628722283f,2,SEN_PRIVACY_2026_P049_C01,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,49,0.0518460964,04b01c6cc57c2ef2040a9c46242d73175cc0978f867f6da5634609c9aceb3c50
SCB-P009,a30498470b1afa43147c4752c737853c7b8612e8466e4a9f916118628722283f,3,STAR_RECORD_2026_P098_C01,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,98,0.0479644962,c01a8672573e384d1755aaaad59e92c4161e942569d4958c5c9f5c26e68431af
SCB-P009,a30498470b1afa43147c4752c737853c7b8612e8466e4a9f916118628722283f,4,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0430211624,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P010,ff01df7abf51191da9a19e473bd4f0d9ef0791cb90e6b39230728bd1c2d1f092,1,STAR_RECORD_2026_P058_C03,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,58,0.0715378527,7bf11f0c65d581b19c5869479012d4191dd8a07eacf5036238c1c3f51cb0da04
SCB-P010,ff01df7abf51191da9a19e473bd4f0d9ef0791cb90e6b39230728bd1c2d1f092,2,STAR_RECORD_2026_P056_C05,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,56,0.0549885449,17676cc34ff66495bb509f9621726b58492ceaa491d6a7c8df2ca060e064c241
SCB-P010,ff01df7abf51191da9a19e473bd4f0d9ef0791cb90e6b39230728bd1c2d1f092,3,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0422965244,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P010,ff01df7abf51191da9a19e473bd4f0d9ef0791cb90e6b39230728bd1c2d1f092,4,MOE_SCM_2026_P049_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,49,0.0344285029,381c869a0f1c9fe18cca02411600b7c79e547d0a69e52e3fc253078090dd90a4
SCB-P011,74424933bc24953d023269e54789cfe3a30ab7f38c56642757650f9f182d1fd1,1,STAR_RECORD_2026_P019_C03,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,19,0.0499578842,5497bde6e60e6d4bb1f1d42f550992f952ce6eff1a81125b4db4b46fd3718284
SCB-P011,74424933bc24953d023269e54789cfe3a30ab7f38c56642757650f9f182d1fd1,2,STAR_RECORD_2026_P122_C01,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,122,0.0467432847,8cf0e99cb9274668dbf2e8ecb93920127046308502d3898a7770a9d2122b43f4
SCB-P011,74424933bc24953d023269e54789cfe3a30ab7f38c56642757650f9f182d1fd1,3,MOE_SCM_2026_P011_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,11,0.0339296641,00a0b719343ee987065b9b2bb4f908124395ac5c8fba4a7e3e02b93282f7967e
SCB-P011,74424933bc24953d023269e54789cfe3a30ab7f38c56642757650f9f182d1fd1,4,MOE_SCM_2026_P012_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,12,0.0332573063,c286d73bde04369cb235bf003ad509e4de26246f04f6211ed6d930279e513ad0
SCB-P012,b39c2b582b620c98682496be31c33178fb1a891b36e7cfb0b5a16c0a2a22aa73,1,SEN_PRIVACY_2026_P049_C03,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,49,0.0504943787,df146b48c86682a9e1ad1173b73b3dffae5d98efcfdc24d493f9909636887d5f
SCB-P012,b39c2b582b620c98682496be31c33178fb1a891b36e7cfb0b5a16c0a2a22aa73,2,SEN_PRIVACY_2026_P050_C01,SEN_PRIVACY_2026,각급학교 개인정보 보호 도움자료,PDF page,50,0.0469478068,5754257f04fac5c6c47d8a4c97477c8b240caa043ddf8c01161ebb8b817e9096
SCB-P012,b39c2b582b620c98682496be31c33178fb1a891b36e7cfb0b5a16c0a2a22aa73,3,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0321010392,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P012,b39c2b582b620c98682496be31c33178fb1a891b36e7cfb0b5a16c0a2a22aa73,4,STAR_RECORD_2026_P040_C01,STAR_RECORD_2026,2026학년도 학교생활기록부 기재요령(초등학교),PDF page,40,0.0291682884,ddfd87a1090de6f478f94af0d3f7e1412fe961568384c2effc291eb08e4b23f7
SCB-P013,5c46320b807723fe17ceff86c118abf9e9fb24101a1ca10cd7e70c884287b9c7,1,MOE_SCM_2026_P048_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,48,0.0512830275,16a0d15f9d2ff6bef46f4f7c19480162d2e30b42316bea4863312458c46f996f
SCB-P013,5c46320b807723fe17ceff86c118abf9e9fb24101a1ca10cd7e70c884287b9c7,2,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0440413201,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P013,5c46320b807723fe17ceff86c118abf9e9fb24101a1ca10cd7e70c884287b9c7,3,MOE_GUIDANCE_2026_DOC_C07,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0322986525,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P013,5c46320b807723fe17ceff86c118abf9e9fb24101a1ca10cd7e70c884287b9c7,4,MOE_GUIDANCE_2026_DOC_C12,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0153668988,e372fc9ac8720bd3dd881101d04a46484a6d36c602d135956dc8959307897780
SCB-P014,3da121818b5820f363bd022740454d6e3d80b23068fbbc3554a4178c25f7f471,1,MOE_SCM_2026_P049_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,49,0.0579888369,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P014,3da121818b5820f363bd022740454d6e3d80b23068fbbc3554a4178c25f7f471,2,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0309757853,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P014,3da121818b5820f363bd022740454d6e3d80b23068fbbc3554a4178c25f7f471,3,MOE_GUIDANCE_2026_DOC_C11,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0178611586,1542aa33b8b63d993552f2f5db6568ea7ea546eb2896481ee2268151f2bdd2ab
SCB-P014,3da121818b5820f363bd022740454d6e3d80b23068fbbc3554a4178c25f7f471,4,MOE_GUIDANCE_2026_DOC_C07,MOE_GUIDANCE_2026,교원의 학생생활지도에 관한 고시,document,1,0.0172298633,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P015,41bc8bb013bee2baf8c691396b0119082b90f8d469386785e5531279a885a3ff,1,MOE_VIOLENCE_2026_P150_C02,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,150,0.0845010927,18e57c24e52d83c12267c0c3cb5c3d801d0ed35049b6df53565c6da41c36bcf3
SCB-P015,41bc8bb013bee2baf8c691396b0119082b90f8d469386785e5531279a885a3ff,2,MOE_VIOLENCE_2026_P063_C01,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,63,0.0822879918,376a7ad745707c34ea77a8d07250bd87c70f7071a54ee10f8b4991abe1a923a2
SCB-P015,41bc8bb013bee2baf8c691396b0119082b90f8d469386785e5531279a885a3ff,3,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0493365956,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P015,41bc8bb013bee2baf8c691396b0119082b90f8d469386785e5531279a885a3ff,4,MOE_SCM_2026_P057_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,57,0.0367648996,d7f02dda3bc36b73c171342570d7ed7c482764695634a83c0eeec3e857537716
SCB-P016,8de1d462d25c3f25c10206648feb4243fc6f1cf79d9ff8757f448e2c80ee69d0,1,MOE_VIOLENCE_2026_P066_C02,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,66,0.0649888719,6629702b20a8ea91502687e2f0e06294b14a4cd2fa2ec8f66cefd1361c303262
SCB-P016,8de1d462d25c3f25c10206648feb4243fc6f1cf79d9ff8757f448e2c80ee69d0,2,MOE_VIOLENCE_2026_P163_C02,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,163,0.063958278,7ba44dc63ad3cba98704f83b5adc09b55c4ccd81a4405361a08ad1fe926104f8
SCB-P016,8de1d462d25c3f25c10206648feb4243fc6f1cf79d9ff8757f448e2c80ee69d0,3,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0635198709,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P016,8de1d462d25c3f25c10206648feb4243fc6f1cf79d9ff8757f448e2c80ee69d0,4,MOE_SCM_2026_P052_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,52,0.0586335126,19ace45d11133999851ad4f755725e2242bb93618c2617bddbc3386e7359267c
SCB-P017,2a1d601df319dbe50fbb2ab28f8302b02019fba3e5e32f05db96c587b52ef995,1,MOE_SCM_2026_P022_C04,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,22,0.0747028423,7f9d2fe260a1ee373361f9eb97378f2491f88b0a0c2463b8caca31c0bffebe58
SCB-P017,2a1d601df319dbe50fbb2ab28f8302b02019fba3e5e32f05db96c587b52ef995,2,MOE_VIOLENCE_2026_P082_C01,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,82,0.0691220263,f7d8386f5ac3719bc731bc7b48f499041e677903604099d2166aa985adb07d1c
SCB-P017,2a1d601df319dbe50fbb2ab28f8302b02019fba3e5e32f05db96c587b52ef995,3,MOE_VIOLENCE_2026_P064_C03,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,64,0.0646230376,237da691b17f6bfd964646f32d1fac2b533dd336b9261c1ecdb4e8c9bef2f882
SCB-P017,2a1d601df319dbe50fbb2ab28f8302b02019fba3e5e32f05db96c587b52ef995,4,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0515484759,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P018,3e20ed55ccf2a8c3e959b3a165e12f3d93f4e100c821ca6a11e57d98ceec65a9,1,MOE_VIOLENCE_2026_P032_C02,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,32,0.0704366745,c29757f9262464a24438e75e20b828ca32d108df9913a7c427878039c4386484
SCB-P018,3e20ed55ccf2a8c3e959b3a165e12f3d93f4e100c821ca6a11e57d98ceec65a9,2,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0649224552,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P018,3e20ed55ccf2a8c3e959b3a165e12f3d93f4e100c821ca6a11e57d98ceec65a9,3,MOE_VIOLENCE_2026_P015_C04,MOE_VIOLENCE_2026,2026학년도 학교폭력 사안처리 가이드북,PDF page,15,0.0644770174,8b8fe6ef2a3de8b12c6e7db30e8c9b8f116dd9771584cfe77d86f0aee789e9f0
SCB-P018,3e20ed55ccf2a8c3e959b3a165e12f3d93f4e100c821ca6a11e57d98ceec65a9,4,MOE_SCM_2026_P049_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,49,0.0402208368,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P019,2fca0e518d8a78f244de18eb672790c7f46bc6e04c58f85e5396d9d69f151205,1,MOE_SCM_2026_P059_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,59,0.0693802758,d7e2218d0109cbc79cb515aeec5506f7c7c4fef66512631ba23718cdf2660fb2
SCB-P019,2fca0e518d8a78f244de18eb672790c7f46bc6e04c58f85e5396d9d69f151205,2,MOE_MEAL_2021_P137_C03,MOE_MEAL_2021,제5차 개정 학교급식 위생관리 지침서,PDF page,137,0.0458551303,fd7dd3d26af16287353eb7fbbd05d455b58230682ea4ddb43634b036c8a5d010
SCB-P019,2fca0e518d8a78f244de18eb672790c7f46bc6e04c58f85e5396d9d69f151205,3,MOE_MEAL_2021_P022_C01,MOE_MEAL_2021,제5차 개정 학교급식 위생관리 지침서,PDF page,22,0.0392674865,fb545626bd4b180568deaa0fc9c97463c50773faa8f9ccb93511037a33c45382
SCB-P019,2fca0e518d8a78f244de18eb672790c7f46bc6e04c58f85e5396d9d69f151205,4,MOE_SCM_2026_P047_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.038782295,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P020,0cca5b1c3fdbf5a543e3a0edab6bfa670f671c1be2301068c5cb4266a444541e,1,MOE_HEALTH_2026_P142_C02,MOE_HEALTH_2026,2026년 학생건강증진 분야 주요업무 추진방향,PDF page,142,0.0600444225,6d84f8fb794f49dc7db34ddd9c2e51c0bd45f304554e2a736bcb1dd05f19d2f0
SCB-P020,0cca5b1c3fdbf5a543e3a0edab6bfa670f671c1be2301068c5cb4266a444541e,2,MOE_MEAL_2021_P198_C01,MOE_MEAL_2021,제5차 개정 학교급식 위생관리 지침서,PDF page,198,0.054804165,a7adcd2ec198eff91d3571df3414c492d2b80ac1ec51c4d861c7bc5597457541
SCB-P020,0cca5b1c3fdbf5a543e3a0edab6bfa670f671c1be2301068c5cb4266a444541e,3,MOE_MEAL_2021_P183_C03,MOE_MEAL_2021,제5차 개정 학교급식 위생관리 지침서,PDF page,183,0.0546104312,88aec0451916c84a8787f766b9407794d5845cbd9c1c48ee8a6d42729b4485e5
SCB-P020,0cca5b1c3fdbf5a543e3a0edab6bfa670f671c1be2301068c5cb4266a444541e,4,MOE_HEALTH_2026_P143_C01,MOE_HEALTH_2026,2026년 학생건강증진 분야 주요업무 추진방향,PDF page,143,0.0529010121,5c71c28c76e8b3a1b7e7d875177a69fc2d052af52a49f562786771464829fa46
SCB-P021,beea8b077df2d350d14762e3c83b499fa42315127551b7783f48239bfaed47bf,1,MOE_HEALTH_2026_P142_C02,MOE_HEALTH_2026,2026년 학생건강증진 분야 주요업무 추진방향,PDF page,142,0.0831775169,6d84f8fb794f49dc7db34ddd9c2e51c0bd45f304554e2a736bcb1dd05f19d2f0
SCB-P021,beea8b077df2d350d14762e3c83b499fa42315127551b7783f48239bfaed47bf,2,MOE_HEALTH_2026_P143_C01,MOE_HEALTH_2026,2026년 학생건강증진 분야 주요업무 추진방향,PDF page,143,0.0743688853,5c71c28c76e8b3a1b7e7d875177a69fc2d052af52a49f562786771464829fa46
SCB-P021,beea8b077df2d350d14762e3c83b499fa42315127551b7783f48239bfaed47bf,3,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0668875999,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P021,beea8b077df2d350d14762e3c83b499fa42315127551b7783f48239bfaed47bf,4,MOE_MEAL_2021_P022_C01,MOE_MEAL_2021,제5차 개정 학교급식 위생관리 지침서,PDF page,22,0.0493707676,fb545626bd4b180568deaa0fc9c97463c50773faa8f9ccb93511037a33c45382
SCB-P022,32b6389921226a43ed9eaddbe0adf2ab12da42fb7e515684ba62c727fc3e529d,1,MOE_SCM_2026_P047_C02,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,47,0.0952064437,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P022,32b6389921226a43ed9eaddbe0adf2ab12da42fb7e515684ba62c727fc3e529d,2,MOE_SCM_2026_P049_C01,MOE_SCM_2026,학교민원 처리 매뉴얼,PDF page,49,0.065596683,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P022,32b6389921226a43ed9eaddbe0adf2ab12da42fb7e515684ba62c727fc3e529d,3,MOE_MEAL_2021_P077_C01,MOE_MEAL_2021,제5차 개정 학교급식 위생관리 지침서,PDF page,77,0.0360121703,7c6977c25837678fe4fa6eace7bde0162a3e47c8264e75f3a23f1f7e4e324c9d
