item_id,domain,title,rank,chunk_id,source,locator,retrieval_score,relevance_score,relevance_label,misleading_potential,audit_rationale,audit_provenance,chunk_text_sha256
SCB-P003,교육활동,과제량 증가 주장,3,MOE_GUIDANCE_2026_DOC_C07,교원의 학생생활지도에 관한 고시,document 1,0.0199166374,1,관련·일반,0,학생 상담 일반론은 관련되지만 과제량 조정의 직접 근거는 아님,v0.10.0 나머지 24문항 신규 감사,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P003,교육활동,과제량 증가 주장,4,MOE_GUIDANCE_2026_DOC_C04,교원의 학생생활지도에 관한 고시,document 1,0.0137404085,1,관련·일반,0,학생 성장 지원 일반론으로 확인 질문에 직접 답하지 못함,v0.10.0 나머지 24문항 신규 감사,0ec23de2914e72c0aecde734fc8b49e7b0c932c17b7b520d20ccb9760f1847c1
SCB-P004,교육활동,준비물 구매와 평가 반영 우려,1,STAR_RECORD_2026_P103_C01,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 103,0.0405935683,0,무관,0,전출·재취학 학생의 성적 보관 규정으로 준비물 감점 확인과 무관함,v0.9.0 선정 24문항 감사 승계,4a0efe18d998f2ebd84bb51d105339d6bcc8511cf8fbdfe93e2164657f78568b
SCB-P004,교육활동,준비물 구매와 평가 반영 우려,2,STAR_RECORD_2026_P101_C03,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 101,0.0385239242,2,직접 근거,0,평가계획·이의처리와 공정성 원칙은 평가기준 확인에 직접 도움이 됨,v0.9.0 선정 24문항 감사 승계,b608fd1d1b08266bca8de0421105a9d6fe7392ba6c0874a8cfbbe942d93aed6b
SCB-P004,교육활동,준비물 구매와 평가 반영 우려,3,SEN_PRIVACY_2026_P085_C01,각급학교 개인정보 보호 도움자료,PDF page 85,0.0299454031,0,무관,0,에듀테크 개인정보 동의 예시로 준비물·평가기준과 무관함,v0.9.0 선정 24문항 감사 승계,32e21f63f2426e151fac08ec085eadcf74a06041a9e1372d1c1ab696d23f1db9
SCB-P004,교육활동,준비물 구매와 평가 반영 우려,4,SEN_PRIVACY_2026_P083_C04,각급학교 개인정보 보호 도움자료,PDF page 83,0.0272256381,0,무관,0,플랫폼 개인정보 항목 예시로 준비물 민원과 무관함,v0.9.0 선정 24문항 감사 승계,4c5dccc802e5fbfff2d60d45902e712296b5e59e43940258f7e83e851cbeaaa6
SCB-P005,교육활동,수업 참여 배제 조정 요청,1,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0790850333,1,관련·일반,0,민원 응대 일반론으로 접근성 요청 절차에만 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P005,교육활동,수업 참여 배제 조정 요청,2,MOE_GUIDANCE_2026_DOC_C09,교원의 학생생활지도에 관한 고시,document 1,0.04342611,0,무관,1,학생 훈육 규정으로 이동지원·편의 제공과 무관함,v0.10.0 나머지 24문항 신규 감사,405cf450bcc6eed60f673bff2828beb3ca192e137012d70bca900d314daa8cfe
SCB-P005,교육활동,수업 참여 배제 조정 요청,3,MOE_SCM_2026_P049_C01,학교민원 처리 매뉴얼,PDF page 49,0.0345088028,0,무관,1,폭언 민원 대응으로 정상적인 접근성 요청과 무관함,v0.10.0 나머지 24문항 신규 감사,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P005,교육활동,수업 참여 배제 조정 요청,4,MOE_GUIDANCE_2026_DOC_C12,교원의 학생생활지도에 관한 고시,document 1,0.0259304794,0,무관,1,생활지도 규정으로 접근성 조정과 무관함,v0.10.0 나머지 24문항 신규 감사,e372fc9ac8720bd3dd881101d04a46484a6d36c602d135956dc8959307897780
SCB-P006,교육활동,수업 중 모욕 주장과 공개 사과 요구,1,MOE_VIOLENCE_2026_P065_C03,2026학년도 학교폭력 사안처리 가이드북,PDF page 65,0.1031262697,1,관련·일반,1,학생 간 학교폭력 안내를 교사 발언 민원에 바로 적용하면 사안 오분류 위험이 있음,v0.9.0 선정 24문항 감사 승계,a566b2a77a6aa4a053222db649c13b34aad67cd6588a56ed7b539065763c60cd
SCB-P006,교육활동,수업 중 모욕 주장과 공개 사과 요구,2,MOE_VIOLENCE_2026_P139_C03,2026학년도 학교폭력 사안처리 가이드북,PDF page 139,0.0760554567,0,무관,1,학교폭력 손해배상 책임 설명으로 현재 사실확인·학생 보호와 무관함,v0.9.0 선정 24문항 감사 승계,89a63a748ffbc29b835d5ec0576f25995b050afe4f9408f889d88b2415b0db3f
SCB-P006,교육활동,수업 중 모욕 주장과 공개 사과 요구,3,MOE_SCM_2026_P047_C02,학교민원 처리 매뉴얼,PDF page 47,0.0397921068,1,관련·일반,0,담당자 연결 표현은 일반 절차로 제한적으로 관련됨,v0.9.0 선정 24문항 감사 승계,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P006,교육활동,수업 중 모욕 주장과 공개 사과 요구,4,MOE_SCM_2026_P022_C04,학교민원 처리 매뉴얼,PDF page 22,0.0369181496,0,무관,1,교원 피해·성적 언동 맥락으로 민원 당사자와 사건 유형을 뒤바꿀 위험이 있음,v0.9.0 선정 24문항 감사 승계,7f9d2fe260a1ee373361f9eb97378f2491f88b0a0c2463b8caca31c0bffebe58
SCB-P007,평가·기록,답안 확인 일정,1,STAR_RECORD_2026_P098_C02,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 98,0.0467328341,1,관련·일반,0,평가 운영 일반 원칙은 관련되지만 신청 기간·장소의 직접 근거는 아님,v0.9.0 선정 24문항 감사 승계,c009de7708176b2642d4d105531a22f1e40f22719f7ab996049e210dc8307954
SCB-P007,평가·기록,답안 확인 일정,2,MOE_SCM_2026_P050_C01,학교민원 처리 매뉴얼,PDF page 50,0.0466307313,0,무관,1,폭언·장시간 통화 대응으로 정상적인 일정 문의와 무관함,v0.9.0 선정 24문항 감사 승계,2e46f4a467f018dfadf4169f907fd3e6ad3f894b9a5398f4f8b437d953da2f55
SCB-P007,평가·기록,답안 확인 일정,3,MOE_SCM_2026_P014_C03,학교민원 처리 매뉴얼,PDF page 14,0.0444290078,1,관련·일반,0,담당자 협조 일반 절차는 간접적으로 관련됨,v0.9.0 선정 24문항 감사 승계,7949eac388c27ab8365e87136cee51a0230725d620c864dd2247aa349e58e9ce
SCB-P007,평가·기록,답안 확인 일정,4,SEN_PRIVACY_2026_P082_C03,각급학교 개인정보 보호 도움자료,PDF page 82,0.0410760903,0,무관,0,SMS·스쿨뱅킹 개인정보 동의 예시로 답안 확인 일정과 무관함,v0.9.0 선정 24문항 감사 승계,d6bbf0c8c65b4c5863b116b513ed88e76988040b318aea9fe6fa6d571031a43e
SCB-P008,평가·기록,결석계 제출과 출결 확인 시점,1,STAR_RECORD_2026_P115_C03,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 115,0.0843626334,1,관련·일반,1,기록 정정 일반 절차는 관련되지만 현재 출결 대기 상태에 곧바로 적용하면 과잉 절차가 됨,v0.10.0 나머지 24문항 신규 감사,83a71edd57ffe44e58c008132088a6e6e0575c9f4d2b4224c113001f521d093c
SCB-P008,평가·기록,결석계 제출과 출결 확인 시점,2,STAR_RECORD_2026_P079_C04,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 79,0.0515171593,0,무관,1,학교폭력 출석인정 규정으로 일반 출결 화면 오류와 무관함,v0.10.0 나머지 24문항 신규 감사,6466ff8cf39019272bc1bdabeee663fae32f2d3445e1a666e5b0a2eb347b8044
SCB-P008,평가·기록,결석계 제출과 출결 확인 시점,3,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0485144711,1,관련·일반,0,민원 확인 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P008,평가·기록,결석계 제출과 출결 확인 시점,4,SEN_PRIVACY_2026_P049_C02,각급학교 개인정보 보호 도움자료,PDF page 49,0.0466365809,0,무관,1,개인정보 파기 절차로 출결 상태 정정과 무관함,v0.10.0 나머지 24문항 신규 감사,e10fd0e5d511214ddcb06e4c2cb98c3c45bb0d1e18737c154a8d219cba40f9d9
SCB-P009,평가·기록,점수 입력 오류 의심,1,STAR_RECORD_2026_P100_C03,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 100,0.0692984951,1,관련·일반,0,평가 결과 확인·위원회 일반론은 관련되지만 입력 오류 확인의 직접 근거는 아님,v0.10.0 나머지 24문항 신규 감사,3d3be464b8861071ba2e12a1e75391eddf4adcef93aee8ac98b4c607da6f4012
SCB-P009,평가·기록,점수 입력 오류 의심,2,SEN_PRIVACY_2026_P049_C01,각급학교 개인정보 보호 도움자료,PDF page 49,0.0518460964,0,무관,1,개인정보 처리 위탁 규정으로 성적 입력 불일치와 무관함,v0.10.0 나머지 24문항 신규 감사,04b01c6cc57c2ef2040a9c46242d73175cc0978f867f6da5634609c9aceb3c50
SCB-P009,평가·기록,점수 입력 오류 의심,3,STAR_RECORD_2026_P098_C01,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 98,0.0479644962,1,관련·일반,0,평가 관찰과 부담 완화 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,c01a8672573e384d1755aaaad59e92c4161e942569d4958c5c9f5c26e68431af
SCB-P009,평가·기록,점수 입력 오류 의심,4,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0430211624,1,관련·일반,0,민원 응대 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P010,평가·기록,보충평가와 출결의 혼동,1,STAR_RECORD_2026_P058_C03,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 58,0.0715378527,0,무관,1,학교폭력 사유 출석인정 규정을 대회 출결에 적용할 위험이 있음,v0.9.0 선정 24문항 감사 승계,7bf11f0c65d581b19c5869479012d4191dd8a07eacf5036238c1c3f51cb0da04
SCB-P010,평가·기록,보충평가와 출결의 혼동,2,STAR_RECORD_2026_P056_C05,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 56,0.0549885449,1,관련·일반,1,학생선수 대회 출결 규정은 조건부로 관련되지만 학생선수 여부가 확인되지 않음,v0.9.0 선정 24문항 감사 승계,17676cc34ff66495bb509f9621726b58492ceaa491d6a7c8df2ca060e064c241
SCB-P010,평가·기록,보충평가와 출결의 혼동,3,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0422965244,1,관련·일반,0,전화 민원 응대 일반론으로 확인 절차에만 간접 관련됨,v0.9.0 선정 24문항 감사 승계,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P010,평가·기록,보충평가와 출결의 혼동,4,MOE_SCM_2026_P049_C02,학교민원 처리 매뉴얼,PDF page 49,0.0344285029,0,무관,1,폭언 민원 대응으로 출결·보충평가와 무관함,v0.9.0 선정 24문항 감사 승계,381c869a0f1c9fe18cca02411600b7c79e547d0a69e52e3fc253078090dd90a4
SCB-P011,평가·기록,확인된 성적 오기 정정,1,STAR_RECORD_2026_P019_C03,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 19,0.0499578842,0,무관,1,진로활동 기록 이관 규정으로 점수 오기 정정과 무관함,v0.10.0 나머지 24문항 신규 감사,5497bde6e60e6d4bb1f1d42f550992f952ce6eff1a81125b4db4b46fd3718284
SCB-P011,평가·기록,확인된 성적 오기 정정,2,STAR_RECORD_2026_P122_C01,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 122,0.0467432847,0,무관,1,전출 기록 이관 규정으로 현재 점수 입력 오류와 무관함,v0.10.0 나머지 24문항 신규 감사,8cf0e99cb9274668dbf2e8ecb93920127046308502d3898a7770a9d2122b43f4
SCB-P011,평가·기록,확인된 성적 오기 정정,3,MOE_SCM_2026_P011_C02,학교민원 처리 매뉴얼,PDF page 11,0.0339296641,0,무관,1,특이민원 분류 절차로 정상적인 정정 요청과 무관함,v0.10.0 나머지 24문항 신규 감사,00a0b719343ee987065b9b2bb4f908124395ac5c8fba4a7e3e02b93282f7967e
SCB-P011,평가·기록,확인된 성적 오기 정정,4,MOE_SCM_2026_P012_C02,학교민원 처리 매뉴얼,PDF page 12,0.0332573063,0,무관,1,민원 거부·종결 규정으로 정정 처리와 무관함,v0.10.0 나머지 24문항 신규 감사,c286d73bde04369cb235bf003ad509e4de26246f04f6211ed6d930279e513ad0
SCB-P012,평가·기록,평가기준 이의와 타 학생 답안 요구,1,SEN_PRIVACY_2026_P049_C03,각급학교 개인정보 보호 도움자료,PDF page 49,0.0504943787,0,무관,1,개인정보 파기 절차를 타 학생 답안 제공 요구에 바로 적용할 위험이 있음,v0.9.0 선정 24문항 감사 승계,df146b48c86682a9e1ad1173b73b3dffae5d98efcfdc24d493f9909636887d5f
SCB-P012,평가·기록,평가기준 이의와 타 학생 답안 요구,2,SEN_PRIVACY_2026_P050_C01,각급학교 개인정보 보호 도움자료,PDF page 50,0.0469478068,2,직접 근거,0,타인의 이익과 성적평가를 이유로 열람이 제한될 수 있다는 직접 근거임,v0.9.0 선정 24문항 감사 승계,5754257f04fac5c6c47d8a4c97477c8b240caa043ddf8c01161ebb8b817e9096
SCB-P012,평가·기록,평가기준 이의와 타 학생 답안 요구,3,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0321010392,1,관련·일반,0,전화 민원 응대 일반론으로 담당 연결에만 간접 관련됨,v0.9.0 선정 24문항 감사 승계,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P012,평가·기록,평가기준 이의와 타 학생 답안 요구,4,STAR_RECORD_2026_P040_C01,2026학년도 학교생활기록부 기재요령(초등학교),PDF page 40,0.0291682884,0,무관,0,전입학·수료 출석 기준으로 평가 이의와 무관함,v0.9.0 선정 24문항 감사 승계,ddfd87a1090de6f478f94af0d3f7e1412fe961568384c2effc291eb08e4b23f7
SCB-P013,생활지도·관계갈등,교내 휴대전화 보관 안내,1,MOE_SCM_2026_P048_C02,학교민원 처리 매뉴얼,PDF page 48,0.0512830275,0,무관,1,폭언 전화 대응으로 단순 휴대전화 반환 문의와 무관함,v0.9.0 선정 24문항 감사 승계,16a0d15f9d2ff6bef46f4f7c19480162d2e30b42316bea4863312458c46f996f
SCB-P013,생활지도·관계갈등,교내 휴대전화 보관 안내,2,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0440413201,1,관련·일반,0,전화 문의 응대 표현만 간접적으로 관련됨,v0.9.0 선정 24문항 감사 승계,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P013,생활지도·관계갈등,교내 휴대전화 보관 안내,3,MOE_GUIDANCE_2026_DOC_C07,교원의 학생생활지도에 관한 고시,document 1,0.0322986525,1,관련·일반,0,학생 생활지도의 일반 범위로 휴대전화 규정에 직접 답하지 못함,v0.9.0 선정 24문항 감사 승계,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P013,생활지도·관계갈등,교내 휴대전화 보관 안내,4,MOE_GUIDANCE_2026_DOC_C12,교원의 학생생활지도에 관한 고시,document 1,0.0153668988,1,관련·일반,1,훈계·과제 부여 규정을 단순 반환 안내에 적용할 위험이 있음,v0.9.0 선정 24문항 감사 승계,e372fc9ac8720bd3dd881101d04a46484a6d36c602d135956dc8959307897780
SCB-P014,생활지도·관계갈등,분실물 보관과 물병 세척,1,MOE_SCM_2026_P049_C01,학교민원 처리 매뉴얼,PDF page 49,0.0579888369,0,무관,1,폭언 전화 대응으로 분실물 문의와 무관함,v0.10.0 나머지 24문항 신규 감사,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P014,생활지도·관계갈등,분실물 보관과 물병 세척,2,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0309757853,1,관련·일반,0,민원 확인·안내 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P014,생활지도·관계갈등,분실물 보관과 물병 세척,3,MOE_GUIDANCE_2026_DOC_C11,교원의 학생생활지도에 관한 고시,document 1,0.0178611586,0,무관,1,위험 물품 분리보관 규정으로 분실 물병 처리와 무관함,v0.10.0 나머지 24문항 신규 감사,1542aa33b8b63d993552f2f5db6568ea7ea546eb2896481ee2268151f2bdd2ab
SCB-P014,생활지도·관계갈등,분실물 보관과 물병 세척,4,MOE_GUIDANCE_2026_DOC_C07,교원의 학생생활지도에 관한 고시,document 1,0.0172298633,0,무관,1,학생 상담 규정으로 분실물 반환과 무관함,v0.10.0 나머지 24문항 신규 감사,35be04e289cf42cd3feebacfda1271ae491b9ca68cf45ae6717b0b7f76240e46
SCB-P015,생활지도·관계갈등,쉬는 시간 말다툼 상담,1,MOE_VIOLENCE_2026_P150_C02,2026학년도 학교폭력 사안처리 가이드북,PDF page 150,0.0845010927,1,관련·일반,1,학교폭력 접수 서식은 관련 가능하지만 사실확인 전 언쟁을 정식 사안으로 확정할 위험이 있음,v0.10.0 나머지 24문항 신규 감사,18e57c24e52d83c12267c0c3cb5c3d801d0ed35049b6df53565c6da41c36bcf3
SCB-P015,생활지도·관계갈등,쉬는 시간 말다툼 상담,2,MOE_VIOLENCE_2026_P063_C01,2026학년도 학교폭력 사안처리 가이드북,PDF page 63,0.0822879918,1,관련·일반,0,학생 의견 청취·사실확인 일반 절차로 관련됨,v0.10.0 나머지 24문항 신규 감사,376a7ad745707c34ea77a8d07250bd87c70f7071a54ee10f8b4991abe1a923a2
SCB-P015,생활지도·관계갈등,쉬는 시간 말다툼 상담,3,MOE_SCM_2026_P047_C02,학교민원 처리 매뉴얼,PDF page 47,0.0493365956,1,관련·일반,0,민원 처리 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P015,생활지도·관계갈등,쉬는 시간 말다툼 상담,4,MOE_SCM_2026_P057_C02,학교민원 처리 매뉴얼,PDF page 57,0.0367648996,0,무관,1,폭력적 방문자 대응으로 학생 간 말다툼과 무관함,v0.10.0 나머지 24문항 신규 감사,d7f02dda3bc36b73c171342570d7ed7c482764695634a83c0eeec3e857537716
SCB-P016,생활지도·관계갈등,자리 배치와 반복 소외 우려,1,MOE_VIOLENCE_2026_P066_C02,2026학년도 학교폭력 사안처리 가이드북,PDF page 66,0.0649888719,1,관련·일반,1,학교폭력 긴급조치를 사실확인 전 관계 소외 사례에 적용할 위험이 있음,v0.9.0 선정 24문항 감사 승계,c1725f2fe8146e3f02a74359604f14e89d7cbd93adfd4175457d092415c34807
SCB-P016,생활지도·관계갈등,자리 배치와 반복 소외 우려,2,MOE_VIOLENCE_2026_P163_C02,2026학년도 학교폭력 사안처리 가이드북,PDF page 163,0.063958278,0,무관,1,학교폭력 후속 신청서 조각으로 초기 사실확인과 무관함,v0.9.0 선정 24문항 감사 승계,7ba44dc63ad3cba98704f83b5adc09b55c4ccd81a4405361a08ad1fe926104f8
SCB-P016,생활지도·관계갈등,자리 배치와 반복 소외 우려,3,MOE_SCM_2026_P047_C02,학교민원 처리 매뉴얼,PDF page 47,0.0635198709,1,관련·일반,0,담당자 연결 표현은 일반 절차로 간접 관련됨,v0.9.0 선정 24문항 감사 승계,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P016,생활지도·관계갈등,자리 배치와 반복 소외 우려,4,MOE_SCM_2026_P052_C01,학교민원 처리 매뉴얼,PDF page 52,0.0586335126,0,무관,1,상급자 통화 요구 절차로 현재 요구와 무관함,v0.9.0 선정 24문항 감사 승계,19ace45d11133999851ad4f755725e2242bb93618c2617bddbc3386e7359267c
SCB-P017,생활지도·관계갈등,오늘 발생한 폭행 위협,1,MOE_SCM_2026_P022_C04,학교민원 처리 매뉴얼,PDF page 22,0.0747028423,0,무관,1,교원 대상 성적 언동·손해배상 맥락으로 학생 위협 사건과 무관함,v0.9.0 선정 24문항 감사 승계,7f9d2fe260a1ee373361f9eb97378f2491f88b0a0c2463b8caca31c0bffebe58
SCB-P017,생활지도·관계갈등,오늘 발생한 폭행 위협,2,MOE_VIOLENCE_2026_P082_C01,2026학년도 학교폭력 사안처리 가이드북,PDF page 82,0.0691220263,1,관련·일반,0,피해학생 안정과 관계회복은 관련되지만 즉시 안전 확보의 직접 근거는 아님,v0.9.0 선정 24문항 감사 승계,eb84bb508447d5217aabf1334d1d35446009289275ac447e6cb2ebde09354e82
SCB-P017,생활지도·관계갈등,오늘 발생한 폭행 위협,3,MOE_VIOLENCE_2026_P064_C03,2026학년도 학교폭력 사안처리 가이드북,PDF page 64,0.0646230376,1,관련·일반,0,학생·보호자 의견 청취와 조사는 관련되지만 긴급 보호 조치가 부족함,v0.9.0 선정 24문항 감사 승계,237da691b17f6bfd964646f32d1fac2b533dd336b9261c1ecdb4e8c9bef2f882
SCB-P017,생활지도·관계갈등,오늘 발생한 폭행 위협,4,MOE_SCM_2026_P047_C01,학교민원 처리 매뉴얼,PDF page 47,0.0515484759,1,관련·일반,0,전화 민원 응대 일반론으로 제한적으로 관련됨,v0.9.0 선정 24문항 감사 승계,0ebcc4d2cee1bfc9cc0b17cc5e0cd1d98ea94cd051a002db2896842d3cae8951
SCB-P018,생활지도·관계갈등,반복 금품 요구와 대질 요구,1,MOE_VIOLENCE_2026_P032_C02,2026학년도 학교폭력 사안처리 가이드북,PDF page 32,0.0704366745,2,직접 근거,0,당사자를 억지로 대면시키지 않고 분리 상담하라는 직접 근거임,v0.10.0 나머지 24문항 신규 감사,cc18cb0db395059ae40f31c58381c57b62485ba974a03be2d2f2ce4c9c708788
SCB-P018,생활지도·관계갈등,반복 금품 요구와 대질 요구,2,MOE_SCM_2026_P047_C02,학교민원 처리 매뉴얼,PDF page 47,0.0649224552,1,관련·일반,0,민원 처리 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,3ada6d3f4929501999ef003cd54356cd47bcb6a755f1d8355a6532f4157707c5
SCB-P018,생활지도·관계갈등,반복 금품 요구와 대질 요구,3,MOE_VIOLENCE_2026_P015_C04,2026학년도 학교폭력 사안처리 가이드북,PDF page 15,0.0644770174,1,관련·일반,0,학교폭력 예방 가치 일반론으로 간접 관련됨,v0.10.0 나머지 24문항 신규 감사,808d48e3a2209b4d1156b898d35a865a37ddb5210be9ca6e45854ab3165d15ce
SCB-P018,생활지도·관계갈등,반복 금품 요구와 대질 요구,4,MOE_SCM_2026_P049_C01,학교민원 처리 매뉴얼,PDF page 49,0.0402208368,0,무관,1,폭언 민원 대응으로 학생 간 금전 요구와 무관함,v0.10.0 나머지 24문항 신규 감사,accb82c542d59eaf7bf5bb8aadd2a78333869b10de4f9f5e664c17c3f224348f
SCB-P019,급식·보건,변경된 급식 메뉴,1,MOE_SCM_2026_P059_C02,학교민원 처리 매뉴얼,PDF page 59,0.0693802758,0,무관,0,특이민원 이첩 서식으로 오늘 메뉴 안내와 무관함,v0.9.0 선정 24문항 감사 승계,d7e2218d0109cbc79cb515aeec5506f7c7c4fef66512631ba23718cdf2660fb2
SCB-P019,급식·보건,변경된 급식 메뉴,2,MOE_MEAL_2021_P137_C03,제5차 개정 학교급식 위생관리 지침서,PDF page 137,0.0458551303,0,무관,0,손씻기 교육으로 메뉴 변경 안내와 무관함,v0.9.0 선정 24문항 감사 승계,fd7dd3d26af16287353eb7fbbd05d455b58230682ea4ddb43634b036c8a5d010
